(494, 318)
(494, 318)
(494, 318)
(495, 318)
(494, 319)
(494, 319)
(495, 318)
(494, 318)
(493, 319)
(493, 319)
(494, 317)
(493, 319)
(495, 317)
(495, 317)
(495, 317)
(495, 318)
(494, 319)
(494, 318)
(493, 319)
(492, 320)
(495, 317)
(494, 318)
(495, 318)
(495, 318)
(495, 317)
(495, 318)
(493, 319)
(492, 320)
(495, 318)
(492, 319)
(495, 318)
(495, 319)
(494, 318)
(495, 318)
(494, 319)
(492, 319)
(495, 318)
(493, 318)
(495, 318)
(491, 320)
(495, 317)
(495, 318)
(495, 319)
(492, 319)
(495, 319)
(494, 318)
(494, 318)
(495, 318)
(492, 319)
(494, 319)
(493, 319)
(493, 319)
(492, 319)
(496, 318)
(495, 318)
(495, 318)
(494, 318)
(493, 319)
(495, 318)
(494, 319)
(495, 318)
(495, 318)
(492, 320)
(493, 319)
(495, 319)
(493, 321)
(496, 319)
(495, 320)
(498, 320)
(496, 318)
(498, 320)
(495, 322)
(471, 336)
(471, 336)
(469, 337)
(469, 337)
(493, 322)
(498, 318)
(495, 320)
(496, 321)
(501, 324)
(501, 328)
(503, 330)
(510, 332)
(521, 335)
(527, 340)
(532, 350)
(533, 357)
(534, 375)
(537, 382)
(537, 390)
(537, 410)
(536, 440)
(536, 461)
(531, 479)
(526, 498)
(513, 519)
(496, 528)
(484, 519)
(479, 502)
(475, 486)
(473, 476)
(469, 458)
(464, 436)
(461, 409)
(460, 380)
(461, 352)
(466, 323)
(470, 317)
(476, 318)
(486, 323)
(495, 326)
(511, 335)
(517, 339)
(523, 343)
(523, 361)
(518, 373)
(512, 389)
(491, 418)
(462, 440)
(432, 446)
(408, 436)
(394, 416)
(388, 399)
(381, 375)
(380, 379)
(377, 401)
(386, 425)
(405, 446)
(417, 454)
(430, 458)
(460, 457)
(471, 447)
(476, 438)
(475, 408)
(467, 393)
(445, 364)
(418, 341)
(405, 341)
(392, 348)
(368, 371)
(365, 410)
(390, 430)
(428, 423)
(458, 384)
(451, 337)
(440, 324)
(426, 320)
(400, 321)
(389, 323)
(384, 332)
(390, 329)
(395, 319)
(400, 293)
(400, 281)
(398, 266)
(397, 242)
(400, 224)
(417, 195)
(428, 183)
(447, 176)
(454, 176)
(458, 176)
(467, 179)
(470, 179)
(474, 180)
(483, 180)
(487, 180)
(492, 176)
(508, 171)
(523, 169)
(554, 178)
(561, 186)
(566, 183)
(566, 185)
(577, 184)
(593, 183)
(615, 189)
(626, 195)
(638, 198)
(654, 202)
(676, 202)
(683, 201)
(693, 199)
(708, 198)
(713, 198)
(718, 198)
(730, 195)
(731, 194)
(729, 196)
(727, 196)
(726, 197)
(727, 197)
(722, 198)
(722, 196)
(723, 196)
(723, 196)
(723, 196)
(722, 195)
(721, 195)
(721, 194)
(719, 193)
(721, 193)
(720, 195)
(722, 194)
(724, 193)
(720, 195)
(719, 195)
(721, 195)
(721, 194)
(719, 196)
(718, 196)
(722, 193)
(720, 194)
(720, 196)
